,date,time,pm_val
0,2023/09/02,0,7
1,2023/09/02,1,7
2,2023/09/02,2,7
3,2023/09/02,3,8
4,2023/09/02,4,7
5,2023/09/02,5,9
6,2023/09/02,6,8
7,2023/09/02,7,9
8,2023/09/02,8,9
9,2023/09/02,9,10
10,2023/09/02,10,9
11,2023/09/02,11,6
12,2023/09/02,12,7
13,2023/09/02,13,8
14,2023/09/02,14,13
15,2023/09/02,15,13
16,2023/09/02,16,18
17,2023/09/02,17,17
18,2023/09/02,18,23
19,2023/09/02,19,15
20,2023/09/02,20,17
21,2023/09/02,21,14
22,2023/09/02,22,14
23,2023/09/02,23,12
24,2023/09/03,0,10
25,2023/09/03,1,10
26,2023/09/03,2,7
27,2023/09/03,3,15
28,2023/09/03,4,11
29,2023/09/03,5,5
30,2023/09/03,6,7
31,2023/09/03,7,13
32,2023/09/03,8,12
33,2023/09/03,9,10
34,2023/09/03,10,14
35,2023/09/03,11,8
36,2023/09/03,12,15
37,2023/09/03,13,15
38,2023/09/03,14,11
39,2023/09/03,15,13
40,2023/09/03,16,16
41,2023/09/03,17,11
42,2023/09/03,18,6
43,2023/09/03,19,4
44,2023/09/03,20,6
45,2023/09/03,21,11
46,2023/09/03,22,14
47,2023/09/03,23,8
48,2023/09/04,0,2
49,2023/09/04,1,5
50,2023/09/04,2,7
51,2023/09/04,3,5
52,2023/09/04,4,2
53,2023/09/04,5,2
54,2023/09/04,6,4
55,2023/09/04,7,3
56,2023/09/04,8,7
57,2023/09/04,9,9
58,2023/09/04,10,10
59,2023/09/04,11,10
60,2023/09/04,12,6
61,2023/09/04,13,4
62,2023/09/04,14,7
63,2023/09/04,15,8
64,2023/09/04,16,11
65,2023/09/04,17,6
66,2023/09/04,18,3
67,2023/09/04,19,6
68,2023/09/04,20,12
69,2023/09/04,21,8
70,2023/09/04,22,8
71,2023/09/04,23,8
72,2023/09/05,0,6
73,2023/09/05,1,7
74,2023/09/05,2,5
75,2023/09/05,3,6
76,2023/09/05,4,6
77,2023/09/05,5,5
78,2023/09/05,6,5
79,2023/09/05,7,7
80,2023/09/05,8,6
81,2023/09/05,9,5
82,2023/09/05,10,5
83,2023/09/05,11,9
84,2023/09/05,12,9
85,2023/09/05,13,7
86,2023/09/05,14,11
87,2023/09/05,15,13
88,2023/09/05,16,10
89,2023/09/05,17,9
90,2023/09/05,18,8
91,2023/09/05,19,11
92,2023/09/05,20,8
93,2023/09/05,21,7
94,2023/09/05,22,5
95,2023/09/05,23,3
96,2023/09/06,0,2
97,2023/09/06,1,4
98,2023/09/06,2,3
99,2023/09/06,3,1
100,2023/09/06,4,3
101,2023/09/06,5,4
102,2023/09/06,6,7
103,2023/09/06,7,9
104,2023/09/06,8,7
105,2023/09/06,9,6
106,2023/09/06,10,5
107,2023/09/06,11,12
108,2023/09/06,12,12
109,2023/09/06,13,10
110,2023/09/06,14,8
111,2023/09/06,15,5
112,2023/09/06,16,7
113,2023/09/06,17,10
114,2023/09/06,18,11
115,2023/09/06,19,9
116,2023/09/06,20,5
117,2023/09/06,21,6
118,2023/09/06,22,4
119,2023/09/06,23,3
120,2023/09/07,0,5
121,2023/09/07,1,10
122,2023/09/07,2,8
123,2023/09/07,3,4
124,2023/09/07,4,3
125,2023/09/07,5,6
126,2023/09/07,6,7
127,2023/09/07,7,7
128,2023/09/07,8,13
129,2023/09/07,9,13
130,2023/09/07,10,8
131,2023/09/07,11,11
132,2023/09/07,12,11
133,2023/09/07,13,11
134,2023/09/07,14,10
135,2023/09/07,15,12
136,2023/09/07,16,12
137,2023/09/07,17,12
138,2023/09/07,18,9
139,2023/09/07,19,7
140,2023/09/07,20,10
141,2023/09/07,21,7
142,2023/09/07,22,7
143,2023/09/07,23,7
144,2023/09/08,0,6
145,2023/09/08,1,6
146,2023/09/08,2,5
147,2023/09/08,3,8
148,2023/09/08,4,6
149,2023/09/08,5,5
150,2023/09/08,6,9
151,2023/09/08,7,8
152,2023/09/08,8,6
153,2023/09/08,9,4
154,2023/09/08,10,6
155,2023/09/08,11,4
156,2023/09/08,12,6
157,2023/09/08,13,7
158,2023/09/08,14,9
159,2023/09/08,15,6
160,2023/09/08,16,5
161,2023/09/08,17,4
162,2023/09/08,18,6
163,2023/09/08,19,6
164,2023/09/08,20,3
165,2023/09/08,21,5
166,2023/09/08,22,7
167,2023/09/08,23,4
168,2023/09/09,0,1
169,2023/09/09,1,3
170,2023/09/09,2,2
171,2023/09/09,3,3
172,2023/09/09,4,6
173,2023/09/09,5,5
174,2023/09/09,6,6
175,2023/09/09,7,4
176,2023/09/09,8,5
177,2023/09/09,9,4
178,2023/09/09,10,4
179,2023/09/09,11,1
180,2023/09/09,12,2
181,2023/09/09,13,3
182,2023/09/09,14,4
183,2023/09/09,15,7
184,2023/09/09,16,8
185,2023/09/09,17,9
186,2023/09/09,18,7
187,2023/09/09,19,4
188,2023/09/09,20,5
189,2023/09/09,21,5
190,2023/09/09,22,5
191,2023/09/09,23,4
192,2023/09/10,0,2
193,2023/09/10,1,3
194,2023/09/10,2,4
195,2023/09/10,3,2
196,2023/09/10,4,0
197,2023/09/10,5,1
198,2023/09/10,6,5
199,2023/09/10,7,7
200,2023/09/10,8,4
201,2023/09/10,9,1
202,2023/09/10,10,3
203,2023/09/10,11,6
204,2023/09/10,12,5
205,2023/09/10,13,4
206,2023/09/10,14,8
207,2023/09/10,15,9
208,2023/09/10,16,10
209,2023/09/10,17,10
210,2023/09/10,18,9
211,2023/09/10,19,13
212,2023/09/10,20,12
213,2023/09/10,21,7
214,2023/09/10,22,5
215,2023/09/10,23,6
216,2023/09/11,0,7
217,2023/09/11,1,6
218,2023/09/11,2,4
219,2023/09/11,3,1
220,2023/09/11,4,4
221,2023/09/11,5,5
222,2023/09/11,6,6
223,2023/09/11,7,6
224,2023/09/11,8,5
225,2023/09/11,9,6
226,2023/09/11,10,6
227,2023/09/11,11,7
228,2023/09/11,12,8
229,2023/09/11,13,11
230,2023/09/11,14,18
231,2023/09/11,15,13
232,2023/09/11,16,13
233,2023/09/11,17,17
234,2023/09/11,18,22
235,2023/09/11,19,23
236,2023/09/11,20,21
237,2023/09/11,21,17
