"測站","日期","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
竹山,2023/09/02,PM2.5,7,7,7,8,7,9,8,9,9,10,9,6,7,8,13,13,18,17,23,15,17,14,14,12
竹山,2023/09/03,PM2.5,10,10,7,15,11,5,7,13,12,10,14,8,15,15,11,13,16,11,6,4,6,11,14,8
竹山,2023/09/04,PM2.5,2,5,7,5,2,2,4,3,7,9,10,10,6,4,7,8,11,6,3,6,12,8,8,8
竹山,2023/09/05,PM2.5,6,7,5,6,6,5,5,7,6,5,5,9,9,7,11,13,10,9,8,11,8,7,5,3
竹山,2023/09/06,PM2.5,2,4,3,1,3,4,7,9,7,6,5,12,12,#,8,5,7,10,11,9,5,6,4,3
竹山,2023/09/07,PM2.5,5,10,8,4,3,6,7,7,13,13,8,11,11,11,10,12,12,12,9,7,10,7,7,7
竹山,2023/09/08,PM2.5,6,6,5,8,6,5,9,8,6,4,6,4,6,7,9,6,5,4,6,6,3,5,7,4
竹山,2023/09/09,PM2.5,1,3,2,3,6,5,6,4,5,4,4,1,2,3,4,7,8,9,7,4,5,5,5,4
竹山,2023/09/10,PM2.5,2,3,4,2,0,1,5,7,4,1,3,6,5,4,8,9,10,10,9,13,12,7,5,6
竹山,2023/09/11,PM2.5,7,6,4,1,4,5,6,6,5,6,6,7,8,11,18,13,13,17,22,23,21,17,16,14
竹山,2023/09/12,PM2.5,20,15,14,16,13,9,15,15,16,20,17,18,23,22,29,24,30,24,19,28,21,21,22,23
竹山,2023/09/13,PM2.5,17,15,16,15,16,19,17,16,17,16,21,21,17,22,#,19,22,22,27,25,16,26,21,21
竹山,2023/09/14,PM2.5,21,19,21,22,23,18,24,20,21,21,26,28,26,31,28,10,11,16,16,15,16,18,19,13
竹山,2023/09/15,PM2.5,17,19,23,20,28,19,20,26,21,22,29,20,24,21,21,34,18,16,11,19,16,18,17,13
竹山,2023/09/16,PM2.5,14,14,16,23,18,20,21,22,21,23,20,26,20,18,25,24,16,24,32,32,26,29,24,32
竹山,2023/09/17,PM2.5,26,25,24,20,27,19,19,22,22,25,24,20,24,27,29,28,28,26,29,29,26,22,16,25
竹山,2023/09/18,PM2.5,21,26,18,20,18,20,22,22,29,24,20,22,33,32,18,20,17,18,17,22,14,11,13,14
竹山,2023/09/19,PM2.5,11,12,15,13,12,12,11,15,17,26,21,17,19,#,28,42,21,18,16,14,18,16,15,13
竹山,2023/09/20,PM2.5,16,18,17,18,19,13,18,24,15,17,14,18,22,18,19,24,27,21,23,22,21,23,16,17
竹山,2023/09/21,PM2.5,16,19,17,16,19,19,21,21,17,15,9,13,18,24,21,19,19,18,26,31,28,24,22,22
竹山,2023/09/22,PM2.5,19,22,20,19,16,22,21,19,20,20,20,19,#,26,20,20,20,20,28,25,17,23,21,21
